Provincia,Descripcion.de.Linea.del.Negocio,Nombre.de.la.Organizacion,Departamento,valor_inicial,valor_final,Activo,F.Registral,cod_pdn,Distrito,timestamp,length
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,300,600,MAQUINA DE TELAR,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,"2,450","3,000",FIBRA DE ALPACA,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,36,80,LANA DE OVINO,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,160,490,CONOS HILADO DE ALPACA,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,480,0,SUETER,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,300,0,MEDIAS,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,176,0,CHALINAS,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE MUJERES SUMAC ILLARI DEL SECTOR ALTURA (AMSISA),PUNO,510,0,CHULLOS,11103118,1003,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,520,890,LANA DE OVEJA,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,550,800,CONOS DE HILO DE ALPACA,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,28,40,RURANAS,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,18,36,AGUJAS DE TEJER,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,30,45,CINTA METRICA,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,48,54,TIJERAS,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,300,360,MAQUINA DE TELAR,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,"1,960","2,300",FIBRA DE ALPACA,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,96,0,MEDIAS,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,SOCIEDAD AGRICOLA DE INTERES SOCIAL KENAMARI LTDA N 56,PUNO,360,882,CHALINAS,11022843,1005,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,"12,000","13,000",SALON ARTESANAL,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,"2,450","3,200",FIBRA DE ALPACA,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,0,660,CHOMPAS DE ALPACA,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,160,750,CONOS DE LANA DE PROCESADA,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,100,250,LANA DE OVINO,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,350,400,MAQUINA DE TELAR,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,42,52,CINTA METRICA,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,36,44,RUECAS,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,27,35,AGUJAS DE TEJER,11113456,1008,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS ALPAQUERAS PARIHUANITAS CERRERA PUYCA AAAPP,PUNO,0,"2,800",MAQUINA PLANA ELECTRICA,11113456,1008,ANTAUTA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LA UNION PAUCARCOLLA,PUNO,228,228,"PALITOS DE TEJER, TIJERAS,AGUJAS,CINTA MÃ©TRICA, CROCHET, CIRCULAR",11108052,101,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LA UNION PAUCARCOLLA,PUNO,57,57,LANA DE OVINO,11108052,101,PAUCARCOLLA,,
AREQUIPA,CUYES,ASOCIACION AGROPECUARIA CRIADORES DE CUYES PEREGRINOS DE CHAPI,AREQUIPA,"","","",11268696,1011,QUEQUEÑA,,
AREQUIPA,ARTESANIA TEXTIL,ASOCIACION DE EMPRENDIMIENTO TURISTICOS EN LA RUTA DEL LONCCO,AREQUIPA,"","","",11134849,1012,CHARACATO,,
AREQUIPA,CUYES,ASOCIACION DE PRODUCTORES ECOLOGICOS SAN ANTONIO DE YARABAMBA,AREQUIPA,"1,500","4,000",GALPONES,11116744,1018,YARABAMBA,,
AREQUIPA,CUYES,ASOCIACION DE PRODUCTORES ECOLOGICOS SAN ANTONIO DE YARABAMBA,AREQUIPA,500,"9,000",CUY,11116744,1018,YARABAMBA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,"13,800","14,000",LOCAL ARTESANAL,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,990,"2,640",CHOMPA DE ALPACA,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,"1,900","2,500",CONOS LANA ACRILICO,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,400,"1,890",CHALINAS,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,"1,600","1,800",FIBRA DE ALPACA,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,"4,800","5,000",MAQUINA DE TEJER,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,50,60,CINTA METRICA,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,32,40,TIJERAS,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,28,32,RUECAS,11094938,1019,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION DE ARTESANAS QORYSIMPAY AAQORY,PUNO,23,28,AGUJAS DE TEJER,11094938,1019,ANTAUTA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,69,69,PALITOS DE TEJER,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,46,46,TIJERA,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,12,12,AGUJAS,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,35,35,CINTA MÃ©TRICA,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,35,35,CROCHET,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,81,81,CIRCULAR,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,60,60,LANA,11107566,102,PAUCARCOLLA,,
PUNO,ARTESANIA TEXTIL,ASOCIACION DE MUJERES ARTESANAS LAS CANTUTITAS DE COLLANA,PUNO,3,3,LOCAL COMUNAL,11107566,102,PAUCARCOLLA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,"16,000","17,000",MAQUINA DE TEJER,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,"14,000","15,000",LOCAL ARTESANAL,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,"1,940","2,600",CONOS DE LANA PROCESADA,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,"1,700","2,300",FIBRA DE ALPACA,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,0,575,PONCHOS,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,0,320,CONOS DE HILOS ALPANDINA,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,0,120,BOCHAS,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,54,60,CINTA METRICA,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,30,36,RUECAS,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,24,28,TIJERAS,11066704,1020,ANTAUTA,,
MELGAR,ARTESANIA TEXTIL,ASOCIACION CENTRAL UNICA DE MUJERES VIRGEN DE COPACABANA LARIMAYO ANTAUTA,PUNO,21,25,AGUJAS DE TEJER,11066704,1020,ANTAUTA,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,0,"9,000",TELARES NUEVOS,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,0,"6,600",DISEÃ±OS,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,600,600,IMPLEMENTOS DE TEJIDO DE CHALE,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,300,300,IMPLEMENTOS DE TEJIDO DE CHALINA,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,450,450,IMPLEMENTOS DE TEJIDO DE PAZADISO,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,90,90,RUECA,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,120,120,ESTACAS,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,450,450,OLLAS,11142852,1028,HUANCARANI,,
PAUCARTAMBO,ARTESANIA TEXTIL,ASOCIACION DE PRODUCTORES AGROPECUARIOS APICULTORES ARTESANALES SUMAC TIKARI CCANTOS SAYLLAPATA,CUSCO,80,80,SOGAS,11142852,1028,HUANCARANI,,
